,blk,date,pow_hashrate_THs,pow_diff
198,28656.0,2016-05-15 00:00:00+00:00,0.0,619527.607598
199,28800.0,2016-05-16 00:00:00+00:00,32.0,621678.76701779
200,28944.0,2016-05-16 00:00:00+00:00,0.0,610365.23858481
201,29088.0,2016-05-17 00:00:00+00:00,0.0,640478.58191145
202,29232.0,2016-05-17 00:00:00+00:00,23.0,683178.29487344
203,29376.0,2016-05-18 00:00:00+00:00,0.0,701203.9786481
204,29520.0,2016-05-18 00:00:00+00:00,29.0,672010.28926832
205,29664.0,2016-05-19 00:00:00+00:00,0.0,687350.53451053
206,29808.0,2016-05-19 00:00:00+00:00,0.0,708457.94533991
207,29952.0,2016-05-20 00:00:00+00:00,0.0,671340.64243845
208,30096.0,2016-05-20 00:00:00+00:00,0.0,641419.40774456
209,30240.0,2016-05-21 00:00:00+00:00,29.0,653735.88504183
210,30384.0,2016-05-21 00:00:00+00:00,0.0,685070.83806457
211,30528.0,2016-05-22 00:00:00+00:00,26.0,721258.80130752
212,30672.0,2016-05-22 00:00:00+00:00,0.0,723465.15478081
213,30816.0,2016-05-23 00:00:00+00:00,0.0,707727.85181867
214,30960.0,2016-05-23 00:00:00+00:00,24.0,687766.7340529
215,31104.0,2016-05-24 00:00:00+00:00,0.0,719261.07798737
216,31248.0,2016-05-24 00:00:00+00:00,26.0,689507.05850333
217,31392.0,2016-05-25 00:00:00+00:00,0.0,664324.46167111
218,31536.0,2016-05-25 00:00:00+00:00,0.0,631669.24078689
219,31680.0,2016-05-26 00:00:00+00:00,0.0,646635.77301125
220,31824.0,2016-05-26 00:00:00+00:00,0.0,639565.43698899
221,31968.0,2016-05-27 00:00:00+00:00,25.0,707194.80047623
222,32112.0,2016-05-27 00:00:00+00:00,0.0,811962.64035684
223,32256.0,2016-05-28 00:00:00+00:00,27.0,850430.20643236
224,32400.0,2016-05-28 00:00:00+00:00,0.0,787107.02669733
225,32544.0,2016-05-29 00:00:00+00:00,29.0,740681.88225023
226,32688.0,2016-05-30 00:00:00+00:00,0.0,651999.92087014
227,32832.0,2016-05-30 00:00:00+00:00,32.0,635295.34326044
228,32976.0,2016-05-30 00:00:00+00:00,0.0,666192.15056558
229,33120.0,2016-05-31 00:00:00+00:00,0.0,755660.85105886
230,33264.0,2016-05-31 00:00:00+00:00,0.0,858522.92025655
231,33408.0,2016-06-01 00:00:00+00:00,0.0,848310.85477267
232,33552.0,2016-06-02 00:00:00+00:00,0.0,763558.77038336
233,33696.0,2016-06-02 00:00:00+00:00,0.0,699057.77795863
234,33840.0,2016-06-02 00:00:00+00:00,32.0,713602.74730881
235,33984.0,2016-06-03 00:00:00+00:00,0.0,791604.31158901
236,34128.0,2016-06-03 00:00:00+00:00,24.0,896083.09248322
237,34272.0,2016-06-04 00:00:00+00:00,23.0,954983.83213051
238,34416.0,2016-06-04 00:00:00+00:00,0.0,919599.18047814
239,34560.0,2016-06-05 00:00:00+00:00,34.0,826552.37755015
240,34704.0,2016-06-05 00:00:00+00:00,0.0,722316.87132517
241,34848.0,2016-06-06 00:00:00+00:00,0.0,736996.49267122
242,34992.0,2016-06-06 00:00:00+00:00,0.0,737017.73580656
243,35136.0,2016-06-07 00:00:00+00:00,0.0,790252.4655058
244,35280.0,2016-06-07 00:00:00+00:00,23.0,774996.19412001
245,35424.0,2016-06-08 00:00:00+00:00,0.0,798142.55898987
246,35568.0,2016-06-09 00:00:00+00:00,24.0,749126.76453394
247,35712.0,2016-06-09 00:00:00+00:00,0.0,720005.27191704
248,35856.0,2016-06-09 00:00:00+00:00,25.0,667284.60356312
249,36000.0,2016-06-10 00:00:00+00:00,0.0,759165.50821864
250,36144.0,2016-06-10 00:00:00+00:00,25.0,776377.43245591
251,36288.0,2016-06-11 00:00:00+00:00,0.0,829895.7478192
252,36432.0,2016-06-11 00:00:00+00:00,24.0,818909.44923892
253,36576.0,2016-06-12 00:00:00+00:00,0.0,839682.73709597
254,36720.0,2016-06-12 00:00:00+00:00,29.0,806810.00035222
255,36864.0,2016-06-13 00:00:00+00:00,0.0,810551.7827136
256,37008.0,2016-06-13 00:00:00+00:00,23.0,839511.55435968
257,37152.0,2016-06-14 00:00:00+00:00,0.0,837836.11754298
258,37296.0,2016-06-15 00:00:00+00:00,26.0,771916.06018376
259,37440.0,2016-06-15 00:00:00+00:00,0.0,643144.55615213
260,37584.0,2016-06-16 00:00:00+00:00,0.0,583580.50506091
261,37728.0,2016-06-16 00:00:00+00:00,37.0,521677.7703307
262,37872.0,2016-06-16 00:00:00+00:00,0.0,566156.91737314
263,38016.0,2016-06-17 00:00:00+00:00,28.0,700109.17205256
264,38160.0,2016-06-17 00:00:00+00:00,0.0,788058.75782149
265,38304.0,2016-06-18 00:00:00+00:00,36.0,855318.51958801
266,38448.0,2016-06-18 00:00:00+00:00,0.0,764816.50269583
267,38592.0,2016-06-19 00:00:00+00:00,27.0,796963.51532504
268,38736.0,2016-06-20 00:00:00+00:00,0.0,768754.40965048
269,38880.0,2016-06-20 00:00:00+00:00,0.0,732977.50962475
270,39024.0,2016-06-20 00:00:00+00:00,0.0,718209.58921093
271,39168.0,2016-06-21 00:00:00+00:00,0.0,744649.33628711
272,39312.0,2016-06-22 00:00:00+00:00,31.0,696498.20383073
273,39456.0,2016-06-22 00:00:00+00:00,0.0,713091.33550083
274,39600.0,2016-06-22 00:00:00+00:00,22.0,771549.34469576
